window,min_mins,max_mins,lead,mom,trades,wins,wr,coverage
Early Q4,8,12,5,3,2928,2827,0.9655054644808743,0.5856
Early Q4,8,12,5,5,1797,1743,0.9699499165275459,0.3594
Early Q4,8,12,5,7,881,864,0.9807037457434733,0.1762
Early Q4,8,12,5,10,179,177,0.9888268156424581,0.0358
Early Q4,8,12,5,12,36,36,1.0,0.0072
Early Q4,8,12,7,3,2575,2530,0.9825242718446602,0.515
Early Q4,8,12,7,5,1625,1598,0.9833846153846154,0.325
Early Q4,8,12,7,7,815,806,0.9889570552147239,0.163
Early Q4,8,12,7,10,173,172,0.9942196531791907,0.0346
Early Q4,8,12,7,12,34,34,1.0,0.0068
Early Q4,8,12,10,3,2088,2081,0.9966475095785441,0.4176
Early Q4,8,12,10,5,1383,1377,0.9956616052060737,0.2766
Early Q4,8,12,10,7,729,726,0.9958847736625515,0.1458
Early Q4,8,12,10,10,160,159,0.99375,0.032
Early Q4,8,12,10,12,33,33,1.0,0.0066
Early Q4,8,12,12,3,1799,1797,0.9988882712618121,0.3598
Early Q4,8,12,12,5,1221,1219,0.9983619983619983,0.2442
Early Q4,8,12,12,7,666,665,0.9984984984984985,0.1332
Early Q4,8,12,12,10,146,145,0.9931506849315068,0.0292
Early Q4,8,12,12,12,32,32,1.0,0.0064
Early Q4,8,12,15,3,1345,1345,1.0,0.269
Early Q4,8,12,15,5,953,953,1.0,0.1906
Early Q4,8,12,15,7,537,537,1.0,0.1074
Early Q4,8,12,15,10,124,124,1.0,0.0248
Early Q4,8,12,18,3,964,964,1.0,0.1928
Early Q4,8,12,18,5,709,709,1.0,0.1418
Early Q4,8,12,18,7,421,421,1.0,0.0842
Early Q4,8,12,18,10,109,109,1.0,0.0218
Early Q4,8,12,20,3,757,757,1.0,0.1514
Early Q4,8,12,20,5,566,566,1.0,0.1132
Early Q4,8,12,20,7,343,343,1.0,0.0686
Early Q4,8,12,20,10,97,97,1.0,0.0194
Late Q3,12,18,5,3,3289,3074,0.9346305868044998,0.6578
Late Q3,12,18,5,5,2153,2034,0.9447282861124013,0.4306
Late Q3,12,18,5,7,1106,1050,0.9493670886075949,0.2212
Late Q3,12,18,5,10,216,209,0.9675925925925926,0.0432
Late Q3,12,18,5,12,46,46,1.0,0.0092
Late Q3,12,18,7,3,2883,2765,0.9590704127644815,0.5766
Late Q3,12,18,7,5,1951,1885,0.9661711942593542,0.3902
Late Q3,12,18,7,7,1025,989,0.9648780487804878,0.205
Late Q3,12,18,7,10,208,203,0.9759615384615384,0.0416
Late Q3,12,18,7,12,46,46,1.0,0.0092
Late Q3,12,18,10,3,2304,2266,0.9835069444444444,0.4608
Late Q3,12,18,10,5,1602,1582,0.9875156054931336,0.3204
Late Q3,12,18,10,7,874,862,0.9862700228832952,0.1748
Late Q3,12,18,10,10,196,192,0.9795918367346939,0.0392
Late Q3,12,18,10,12,45,45,1.0,0.009
Late Q3,12,18,12,3,1885,1869,0.9915119363395225,0.377
Late Q3,12,18,12,5,1357,1347,0.9926308032424466,0.2714
Late Q3,12,18,12,7,757,752,0.9933949801849405,0.1514
Late Q3,12,18,12,10,176,174,0.9886363636363636,0.0352
Late Q3,12,18,12,12,41,41,1.0,0.0082
Late Q3,12,18,15,3,1325,1320,0.9962264150943396,0.265
Late Q3,12,18,15,5,994,990,0.9959758551307847,0.1988
Late Q3,12,18,15,7,580,579,0.9982758620689656,0.116
Late Q3,12,18,15,10,147,147,1.0,0.0294
Late Q3,12,18,15,12,36,36,1.0,0.0072
Late Q3,12,18,18,3,890,888,0.9977528089887641,0.178
Late Q3,12,18,18,5,677,677,1.0,0.1354
Late Q3,12,18,18,7,418,418,1.0,0.0836
Late Q3,12,18,18,10,113,113,1.0,0.0226
Late Q3,12,18,18,12,32,32,1.0,0.0064
Late Q3,12,18,20,3,673,673,1.0,0.1346
Late Q3,12,18,20,5,531,531,1.0,0.1062
Late Q3,12,18,20,7,329,329,1.0,0.0658
Late Q3,12,18,20,10,93,93,1.0,0.0186
Early Q3 / Halftime,18,24,5,3,3242,2958,0.9123997532387416,0.6484
Early Q3 / Halftime,18,24,5,5,2190,2037,0.9301369863013699,0.438
Early Q3 / Halftime,18,24,5,7,1100,1038,0.9436363636363636,0.22
Early Q3 / Halftime,18,24,5,10,236,224,0.9491525423728814,0.0472
Early Q3 / Halftime,18,24,5,12,53,53,1.0,0.0106
Early Q3 / Halftime,18,24,7,3,2799,2635,0.94140764558771,0.5598
Early Q3 / Halftime,18,24,7,5,1961,1872,0.9546149923508415,0.3922
Early Q3 / Halftime,18,24,7,7,1014,977,0.9635108481262328,0.2028
Early Q3 / Halftime,18,24,7,10,227,217,0.9559471365638766,0.0454
Early Q3 / Halftime,18,24,7,12,51,51,1.0,0.0102
Early Q3 / Halftime,18,24,10,3,2028,1977,0.9748520710059172,0.4056
Early Q3 / Halftime,18,24,10,5,1483,1459,0.9838165879973028,0.2966
Early Q3 / Halftime,18,24,10,7,796,785,0.9861809045226131,0.1592
Early Q3 / Halftime,18,24,10,10,197,194,0.9847715736040609,0.0394
Early Q3 / Halftime,18,24,10,12,47,47,1.0,0.0094
Early Q3 / Halftime,18,24,12,3,1634,1607,0.9834761321909424,0.3268
Early Q3 / Halftime,18,24,12,5,1218,1206,0.9901477832512315,0.2436
Early Q3 / Halftime,18,24,12,7,676,670,0.9911242603550295,0.1352
Early Q3 / Halftime,18,24,12,10,182,180,0.989010989010989,0.0364
Early Q3 / Halftime,18,24,12,12,44,44,1.0,0.0088
Early Q3 / Halftime,18,24,15,3,1076,1067,0.991635687732342,0.2152
Early Q3 / Halftime,18,24,15,5,851,848,0.9964747356051704,0.1702
Early Q3 / Halftime,18,24,15,7,496,495,0.9979838709677419,0.0992
Early Q3 / Halftime,18,24,15,10,146,146,1.0,0.0292
Early Q3 / Halftime,18,24,15,12,37,37,1.0,0.0074
Early Q3 / Halftime,18,24,18,3,627,623,0.9936204146730463,0.1254
Early Q3 / Halftime,18,24,18,5,525,524,0.9980952380952381,0.105
Early Q3 / Halftime,18,24,18,7,333,333,1.0,0.0666
Early Q3 / Halftime,18,24,18,10,99,99,1.0,0.0198
Early Q3 / Halftime,18,24,20,3,435,435,1.0,0.087
Early Q3 / Halftime,18,24,20,5,367,367,1.0,0.0734
Early Q3 / Halftime,18,24,20,7,245,245,1.0,0.049
Early Q3 / Halftime,18,24,20,10,72,72,1.0,0.0144
Late Q2,24,30,5,3,3256,2866,0.8802211302211302,0.6512
Late Q2,24,30,5,5,2169,1958,0.9027201475334256,0.4338
Late Q2,24,30,5,7,1074,993,0.9245810055865922,0.2148
Late Q2,24,30,5,10,203,195,0.9605911330049262,0.0406
Late Q2,24,30,5,12,48,48,1.0,0.0096
Late Q2,24,30,7,3,2658,2447,0.9206170052671181,0.5316
Late Q2,24,30,7,5,1840,1724,0.9369565217391305,0.368
Late Q2,24,30,7,7,948,900,0.9493670886075949,0.1896
Late Q2,24,30,7,10,194,188,0.9690721649484536,0.0388
Late Q2,24,30,7,12,48,48,1.0,0.0096
Late Q2,24,30,10,3,1793,1719,0.958728388176241,0.3586
Late Q2,24,30,10,5,1324,1278,0.9652567975830816,0.2648
Late Q2,24,30,10,7,749,728,0.9719626168224299,0.1498
Late Q2,24,30,10,10,169,166,0.9822485207100592,0.0338
Late Q2,24,30,10,12,44,44,1.0,0.0088
Late Q2,24,30,12,3,1299,1263,0.9722863741339491,0.2598
Late Q2,24,30,12,5,999,979,0.97997997997998,0.1998
Late Q2,24,30,12,7,594,585,0.9848484848484849,0.1188
Late Q2,24,30,12,10,151,149,0.9867549668874173,0.0302
Late Q2,24,30,12,12,39,39,1.0,0.0078
Late Q2,24,30,15,3,755,744,0.9854304635761589,0.151
Late Q2,24,30,15,5,634,628,0.9905362776025236,0.1268
Late Q2,24,30,15,7,398,395,0.992462311557789,0.0796
Late Q2,24,30,15,10,120,119,0.9916666666666667,0.024
Late Q2,24,30,15,12,34,34,1.0,0.0068
Late Q2,24,30,18,3,392,389,0.9923469387755102,0.0784
Late Q2,24,30,18,5,334,333,0.9970059880239521,0.0668
Late Q2,24,30,18,7,229,228,0.9956331877729258,0.0458
Late Q2,24,30,18,10,74,74,1.0,0.0148
Late Q2,24,30,20,3,246,246,1.0,0.0492
Late Q2,24,30,20,5,213,213,1.0,0.0426
Late Q2,24,30,20,7,152,152,1.0,0.0304
Late Q2,24,30,20,10,49,49,1.0,0.0098
Mid Q2,30,36,5,3,3200,2723,0.8509375,0.64
Mid Q2,30,36,5,5,2231,1942,0.8704616763783057,0.4462
Mid Q2,30,36,5,7,1185,1051,0.8869198312236287,0.237
Mid Q2,30,36,5,10,252,237,0.9404761904761905,0.0504
Mid Q2,30,36,5,12,73,70,0.958904109589041,0.0146
Mid Q2,30,36,7,3,2411,2152,0.8925756947324761,0.4822
Mid Q2,30,36,7,5,1783,1611,0.9035333707234997,0.3566
Mid Q2,30,36,7,7,1013,928,0.9160908193484699,0.2026
Mid Q2,30,36,7,10,242,232,0.9586776859504132,0.0484
Mid Q2,30,36,7,12,72,70,0.9722222222222222,0.0144
Mid Q2,30,36,10,3,1394,1309,0.9390243902439024,0.2788
Mid Q2,30,36,10,5,1117,1050,0.9400179051029544,0.2234
Mid Q2,30,36,10,7,707,669,0.9462517680339463,0.1414
Mid Q2,30,36,10,10,203,196,0.9655172413793104,0.0406
Mid Q2,30,36,10,12,69,67,0.9710144927536232,0.0138
Mid Q2,30,36,12,3,901,857,0.951165371809101,0.1802
Mid Q2,30,36,12,5,762,725,0.9514435695538058,0.1524
Mid Q2,30,36,12,7,537,514,0.957169459962756,0.1074
Mid Q2,30,36,12,10,169,164,0.9704142011834319,0.0338
Mid Q2,30,36,12,12,62,60,0.967741935483871,0.0124
Mid Q2,30,36,15,3,431,423,0.9814385150812065,0.0862
Mid Q2,30,36,15,5,387,379,0.979328165374677,0.0774
Mid Q2,30,36,15,7,301,295,0.9800664451827242,0.0602
Mid Q2,30,36,15,10,115,113,0.9826086956521739,0.023
Mid Q2,30,36,15,12,46,45,0.9782608695652174,0.0092
Mid Q2,30,36,18,3,180,179,0.9944444444444445,0.036
Mid Q2,30,36,18,5,166,165,0.9939759036144579,0.0332
Mid Q2,30,36,18,7,132,131,0.9924242424242424,0.0264
Mid Q2,30,36,18,10,62,62,1.0,0.0124
Mid Q2,30,36,18,12,32,32,1.0,0.0064
Mid Q2,30,36,20,3,106,105,0.9905660377358491,0.0212
Mid Q2,30,36,20,5,99,98,0.98989898989899,0.0198
Mid Q2,30,36,20,7,76,75,0.9868421052631579,0.0152
Mid Q2,30,36,20,10,41,41,1.0,0.0082
Q3-Q4 transition,10,15,5,3,3121,2965,0.950016020506248,0.6242
Q3-Q4 transition,10,15,5,5,1978,1892,0.9565217391304348,0.3956
Q3-Q4 transition,10,15,5,7,984,947,0.9623983739837398,0.1968
Q3-Q4 transition,10,15,5,10,189,187,0.9894179894179894,0.0378
Q3-Q4 transition,10,15,5,12,44,44,1.0,0.0088
Q3-Q4 transition,10,15,7,3,2751,2672,0.9712831697564522,0.5502
Q3-Q4 transition,10,15,7,5,1795,1750,0.9749303621169917,0.359
Q3-Q4 transition,10,15,7,7,909,883,0.9713971397139713,0.1818
Q3-Q4 transition,10,15,7,10,184,183,0.9945652173913043,0.0368
Q3-Q4 transition,10,15,7,12,44,44,1.0,0.0088
Q3-Q4 transition,10,15,10,3,2237,2216,0.9906124273580689,0.4474
Q3-Q4 transition,10,15,10,5,1513,1500,0.991407799074686,0.3026
Q3-Q4 transition,10,15,10,7,797,788,0.9887076537013801,0.1594
Q3-Q4 transition,10,15,10,10,171,170,0.9941520467836257,0.0342
Q3-Q4 transition,10,15,10,12,43,43,1.0,0.0086
Q3-Q4 transition,10,15,12,3,1871,1864,0.9962586851950829,0.3742
Q3-Q4 transition,10,15,12,5,1304,1298,0.995398773006135,0.2608
Q3-Q4 transition,10,15,12,7,704,700,0.9943181818181818,0.1408
Q3-Q4 transition,10,15,12,10,150,149,0.9933333333333333,0.03
Q3-Q4 transition,10,15,12,12,40,40,1.0,0.008
Q3-Q4 transition,10,15,15,3,1379,1377,0.9985496736765772,0.2758
Q3-Q4 transition,10,15,15,5,986,984,0.9979716024340771,0.1972
Q3-Q4 transition,10,15,15,7,560,559,0.9982142857142857,0.112
Q3-Q4 transition,10,15,15,10,130,130,1.0,0.026
Q3-Q4 transition,10,15,15,12,38,38,1.0,0.0076
Q3-Q4 transition,10,15,18,3,968,967,0.9989669421487604,0.1936
Q3-Q4 transition,10,15,18,5,720,720,1.0,0.144
Q3-Q4 transition,10,15,18,7,415,415,1.0,0.083
Q3-Q4 transition,10,15,18,10,103,103,1.0,0.0206
Q3-Q4 transition,10,15,18,12,33,33,1.0,0.0066
Q3-Q4 transition,10,15,20,3,738,738,1.0,0.1476
Q3-Q4 transition,10,15,20,5,574,574,1.0,0.1148
Q3-Q4 transition,10,15,20,7,336,336,1.0,0.0672
Q3-Q4 transition,10,15,20,10,88,88,1.0,0.0176
Mid Q3,15,20,5,3,3047,2824,0.9268132589432229,0.6094
Mid Q3,15,20,5,5,1963,1848,0.9414161996943454,0.3926
Mid Q3,15,20,5,7,979,926,0.9458631256384066,0.1958
Mid Q3,15,20,5,10,196,187,0.9540816326530612,0.0392
Mid Q3,15,20,5,12,47,47,1.0,0.0094
Mid Q3,15,20,7,3,2671,2548,0.9539498315237739,0.5342
Mid Q3,15,20,7,5,1781,1714,0.9623806850084222,0.3562
Mid Q3,15,20,7,7,905,873,0.9646408839779006,0.181
Mid Q3,15,20,7,10,189,182,0.9629629629629629,0.0378
Mid Q3,15,20,7,12,47,47,1.0,0.0094
Mid Q3,15,20,10,3,2059,2022,0.982030111704711,0.4118
Mid Q3,15,20,10,5,1411,1394,0.9879518072289156,0.2822
Mid Q3,15,20,10,7,751,742,0.9880159786950732,0.1502
Mid Q3,15,20,10,10,175,172,0.9828571428571429,0.035
Mid Q3,15,20,10,12,45,45,1.0,0.009
Mid Q3,15,20,12,3,1684,1664,0.9881235154394299,0.3368
Mid Q3,15,20,12,5,1177,1168,0.9923534409515717,0.2354
Mid Q3,15,20,12,7,657,652,0.9923896499238964,0.1314
Mid Q3,15,20,12,10,161,159,0.9875776397515528,0.0322
Mid Q3,15,20,12,12,41,41,1.0,0.0082
Mid Q3,15,20,15,3,1156,1150,0.9948096885813149,0.2312
Mid Q3,15,20,15,5,850,847,0.9964705882352941,0.17
Mid Q3,15,20,15,7,497,496,0.9979879275653923,0.0994
Mid Q3,15,20,15,10,129,129,1.0,0.0258
Mid Q3,15,20,15,12,35,35,1.0,0.007
Mid Q3,15,20,18,3,754,753,0.9986737400530504,0.1508
Mid Q3,15,20,18,5,572,572,1.0,0.1144
Mid Q3,15,20,18,7,359,359,1.0,0.0718
Mid Q3,15,20,18,10,97,97,1.0,0.0194
Mid Q3,15,20,20,3,541,541,1.0,0.1082
Mid Q3,15,20,20,5,427,427,1.0,0.0854
Mid Q3,15,20,20,7,270,270,1.0,0.054
Mid Q3,15,20,20,10,79,79,1.0,0.0158
Around halftime,20,28,5,3,3638,3222,0.88565145684442,0.7276
Around halftime,20,28,5,5,2562,2331,0.9098360655737705,0.5124
Around halftime,20,28,5,7,1307,1211,0.9265493496557001,0.2614
Around halftime,20,28,5,10,269,260,0.966542750929368,0.0538
Around halftime,20,28,5,12,59,59,1.0,0.0118
Around halftime,20,28,7,3,3028,2810,0.928005284015852,0.6056
Around halftime,20,28,7,5,2221,2097,0.9441692931112111,0.4442
Around halftime,20,28,7,7,1180,1126,0.9542372881355933,0.236
Around halftime,20,28,7,10,257,251,0.9766536964980544,0.0514
Around halftime,20,28,7,12,57,57,1.0,0.0114
Around halftime,20,28,10,3,2167,2088,0.9635440701430549,0.4334
Around halftime,20,28,10,5,1675,1626,0.9707462686567164,0.335
Around halftime,20,28,10,7,922,900,0.9761388286334056,0.1844
Around halftime,20,28,10,10,221,219,0.9909502262443439,0.0442
Around halftime,20,28,10,12,50,50,1.0,0.01
Around halftime,20,28,12,3,1651,1617,0.9794064203513022,0.3302
Around halftime,20,28,12,5,1314,1295,0.9855403348554034,0.2628
Around halftime,20,28,12,7,756,747,0.9880952380952381,0.1512
Around halftime,20,28,12,10,200,200,1.0,0.04
Around halftime,20,28,12,12,46,46,1.0,0.0092
Around halftime,20,28,15,3,1014,1004,0.9901380670611439,0.2028
Around halftime,20,28,15,5,864,858,0.9930555555555556,0.1728
Around halftime,20,28,15,7,523,519,0.9923518164435946,0.1046
Around halftime,20,28,15,10,161,161,1.0,0.0322
Around halftime,20,28,15,12,40,40,1.0,0.008
Around halftime,20,28,18,3,573,569,0.9930191972076788,0.1146
Around halftime,20,28,18,5,507,505,0.9960552268244576,0.1014
Around halftime,20,28,18,7,326,325,0.9969325153374233,0.0652
Around halftime,20,28,18,10,104,104,1.0,0.0208
Around halftime,20,28,20,3,383,383,1.0,0.0766
Around halftime,20,28,20,5,336,336,1.0,0.0672
Around halftime,20,28,20,7,233,233,1.0,0.0466
Around halftime,20,28,20,10,77,77,1.0,0.0154
